TimeStamp,Velocity,DesiredVelocity,ControllerOutput,Acceleration
54.9,9.98075,10,500.463,0.0014256
55,9.9809,10,500.48,0.00143514
55.1,9.98104,10,500.496,0.00144413
55.2,9.98119,10,500.512,0.0014526
55.3,9.98133,10,500.527,0.00146055
55.4,9.98148,10,500.542,0.00146799
55.5,9.98162,10,500.556,0.00147493
55.6,9.98177,10,500.57,0.00148138
55.7,9.98192,10,500.583,0.00148736
55.8,9.98207,10,500.596,0.00149286
55.9,9.98222,10,500.609,0.00149791
56,9.98237,10,500.621,0.00150251
56.1,9.98252,10,500.633,0.00150666
56.2,9.98267,10,500.644,0.00151039
56.3,9.98282,10,500.655,0.00151369
56.4,9.98297,10,500.665,0.00151658
56.5,9.98312,10,500.675,0.00151907
56.6,9.98327,10,500.685,0.00152116
56.7,9.98343,10,500.694,0.00152287
56.8,9.98358,10,500.703,0.0015242
56.9,9.98373,10,500.712,0.00152515
57,9.98388,10,500.72,0.00152575
57.1,9.98404,10,500.728,0.00152599
57.2,9.98419,10,500.735,0.00152589
57.3,9.98434,10,500.742,0.00152545
57.4,9.98449,10,500.749,0.00152469
57.5,9.98465,10,500.756,0.0015236
57.6,9.9848,10,500.762,0.0015222
57.7,9.98495,10,500.768,0.00152049
57.8,9.9851,10,500.774,0.00151848
57.9,9.98525,10,500.779,0.00151618
58,9.98541,10,500.784,0.0015136
58.1,9.98556,10,500.789,0.00151074
58.2,9.98571,10,500.793,0.00150761
58.3,9.98586,10,500.797,0.00150422
58.4,9.98601,10,500.801,0.00150058
58.5,9.98616,10,500.805,0.00149668
58.6,9.98631,10,500.808,0.00149254
58.7,9.98646,10,500.811,0.00148816
58.8,9.98661,10,500.814,0.00148356
58.9,9.98676,10,500.817,0.00147873
59,9.9869,10,500.819,0.00147368
59.1,9.98705,10,500.821,0.00146843
59.2,9.9872,10,500.823,0.00146296
59.3,9.98734,10,500.825,0.0014573
59.4,9.98749,10,500.826,0.00145145
59.5,9.98764,10,500.827,0.00144541
59.6,9.98778,10,500.828,0.00143918
59.7,9.98792,10,500.829,0.00143278
59.8,9.98807,10,500.83,0.00142621
59.9,9.98821,10,500.83,0.00141948
60,9.98835,10,500.83,0.00141258
