# x_m,y_m,w_tr_right_m,w_tr_left_m
0.3400,3.6400,0.5523,0.5523
0.3400,3.6900,0.5590,0.5590
0.3400,3.7400,0.5701,0.5701
0.3400,3.7900,0.5852,0.5852
0.3400,3.8400,0.6042,0.6042
0.2900,3.8900,0.6708,0.6708
0.2400,3.9400,0.7211,0.7211
0.1900,3.9900,0.7382,0.7382
0.1400,4.0400,0.7616,0.7616
0.0900,4.0900,0.7906,0.7906
0.0900,4.1400,0.8000,0.8000
0.0400,4.1400,0.8000,0.8000
-0.0100,4.0900,0.7649,0.7649
-0.0600,4.0900,0.7566,0.7566
-0.1100,4.0900,0.7517,0.7517
-0.1600,4.0900,0.7500,0.7500
-0.2100,4.0900,0.7500,0.7500
-0.2600,4.0400,0.7018,0.7018
-0.3100,4.0400,0.7071,0.7071
-0.3600,4.0400,0.7159,0.7159
-0.4100,4.0400,0.7280,0.7280
-0.4600,4.0400,0.7433,0.7433
-0.5100,4.0400,0.7616,0.7616
-0.5600,4.0400,0.7826,0.7826
-0.6100,3.9900,0.7632,0.7632
-0.6600,3.9900,0.7906,0.7906
-0.7100,3.9900,0.8201,0.8201
-0.7600,3.9900,0.8078,0.8078
-0.8100,3.9400,0.8382,0.8382
-0.8600,3.8900,0.8485,0.8485
-0.9100,3.8400,0.8515,0.8515
-0.9100,3.7900,0.8201,0.8201
-0.9600,3.7400,0.8000,0.8000
-0.9600,3.6900,0.7500,0.7500
-0.9600,3.6400,0.7000,0.7000
-1.0100,3.6400,0.7000,0.7000
-1.0600,3.6400,0.7000,0.7000
-1.1100,3.6400,0.7000,0.7000
-1.1600,3.6400,0.7018,0.7018
-1.2100,3.6400,0.7071,0.7071
-1.2600,3.5900,0.6671,0.6671
-1.3100,3.5900,0.6801,0.6801
-1.3600,3.5900,0.6964,0.6964
-1.4100,3.5900,0.7159,0.7159
-1.4600,3.5900,0.7382,0.7382
-1.5100,3.5400,0.7211,0.7211
-1.5600,3.5400,0.7500,0.7500
-1.6100,3.5400,0.7810,0.7810
-1.6600,3.4900,0.7778,0.7778
-1.7100,3.4400,0.7810,0.7810
-1.7100,3.3900,0.7500,0.7500
-1.7100,3.3400,0.7211,0.7211
-1.7100,3.2900,0.6946,0.6946
-1.7600,3.2400,0.7159,0.7159
-1.7600,3.1900,0.6964,0.6964
-1.7600,3.1400,0.6801,0.6801
-1.8100,3.0900,0.7159,0.7159
-1.8100,3.0400,0.7071,0.7071
-1.8100,2.9900,0.7018,0.7018
-1.8100,2.9400,0.7000,0.7000
-1.8100,2.8900,0.7018,0.7018
-1.8100,2.8400,0.7071,0.7071
-1.8600,2.8400,0.7566,0.7566
-1.9100,2.7900,0.8139,0.8139
-1.9600,2.7400,0.8732,0.8732
-2.0100,2.6900,0.8732,0.8732
-1.7600,2.7900,0.6671,0.6671
-1.7100,2.7400,0.6325,0.6325
-1.6600,2.6900,0.6042,0.6042
-1.6100,2.6400,0.5831,0.5831
-1.5600,2.5900,0.5590,0.5590
-1.5100,2.5400,0.5408,0.5408
-1.4600,2.5400,0.5000,0.5000
-1.4100,2.5400,0.4610,0.4610
-1.3600,2.5400,0.4243,0.4243
-1.3100,2.5400,0.3905,0.3905
-1.2600,2.5400,0.3606,0.3606
-1.2100,2.5900,0.2915,0.2915
-1.1600,2.5900,0.2693,0.2693
-1.1100,2.5900,0.2550,0.2550
-1.0600,2.5900,0.2500,0.2500
-1.0100,2.6400,0.2062,0.2062
-0.9600,2.6400,0.2236,0.2236
-0.9100,2.6400,0.2500,0.2500
-0.8600,2.6400,0.2500,0.2500
-0.8100,2.6900,0.2693,0.2693
-0.7600,2.7400,0.2828,0.2828
-0.7100,2.7900,0.2915,0.2915
-0.7100,2.8400,0.2693,0.2693
-0.6600,2.8900,0.3041,0.3041
-0.6600,2.9400,0.3000,0.3000
-0.6100,2.9900,0.3536,0.3536
-0.6100,3.0400,0.3640,0.3640
-0.6100,3.0900,0.3808,0.3808
-0.6100,3.1400,0.3808,0.3808
-0.6100,3.1900,0.3640,0.3640
-0.6100,3.2400,0.3536,0.3536
-0.6100,3.2900,0.3500,0.3500
-0.6600,3.3400,0.4031,0.4031
-0.7100,3.3900,0.4610,0.4610
-0.7600,3.4400,0.5220,0.5220
-0.8100,3.4900,0.5701,0.5701
-0.8600,3.5400,0.6083,0.6083
-0.9100,3.5900,0.6519,0.6519
-0.5600,2.9900,0.4031,0.4031
-0.5100,2.9400,0.3536,0.3536
-0.4600,2.9400,0.3354,0.3354
-0.4100,2.9400,0.3162,0.3162
-0.3600,2.9900,0.2915,0.2915
-0.3100,2.9900,0.2693,0.2693
-0.2600,2.9900,0.2550,0.2550
-0.2100,2.9900,0.2500,0.2500
-0.1600,2.9900,0.2550,0.2550
-0.1100,2.9900,0.2693,0.2693
-0.0600,2.9900,0.2915,0.2915
-0.0100,2.9900,0.3000,0.3000
0.0400,2.9900,0.3000,0.3000
0.0900,2.9900,0.3000,0.3000
0.1400,3.0400,0.3500,0.3500
0.1900,3.0900,0.3808,0.3808
0.1900,3.1400,0.3808,0.3808
0.2400,3.1900,0.4123,0.4123
0.2900,3.2400,0.4528,0.4528
0.1400,4.1900,0.7517,0.7517
0.1900,4.2400,0.7071,0.7071
0.2400,4.2400,0.7159,0.7159
0.2900,4.2400,0.7280,0.7280
0.3400,4.2400,0.7433,0.7433
0.3900,4.2400,0.7616,0.7616
0.4400,4.2400,0.7826,0.7826
0.4900,4.2400,0.7632,0.7632
0.5400,4.2400,0.7382,0.7382
0.5900,4.2400,0.7159,0.7159
0.6400,4.2400,0.6964,0.6964
0.6900,4.2400,0.6801,0.6801
0.7400,4.2400,0.6671,0.6671
0.7900,4.2900,0.7071,0.7071
0.8400,4.2900,0.7018,0.7018
0.8900,4.2900,0.7000,0.7000
0.9400,4.2900,0.7000,0.7000
0.9900,4.2900,0.7000,0.7000
1.0400,4.2900,0.7018,0.7018
1.0900,4.2400,0.6576,0.6576
1.1400,4.2400,0.6671,0.6671
1.1900,4.2400,0.6801,0.6801
1.2400,4.2400,0.6964,0.6964
1.2900,4.2400,0.7159,0.7159
1.3400,4.2400,0.7382,0.7382
